Total documents: 104
Total buckets: 208
Candidate pairs: 695
Matches above threshold (0.5): 594
doc_000028.txt <-> doc_000077.txt : 1.0000
doc_000018.txt <-> doc_000054.txt : 0.6842
doc_000020.txt <-> doc_000082.txt : 0.7000
doc_000014.txt <-> doc_000020.txt : 0.7000
doc_000063.txt <-> doc_000071.txt : 1.0000
doc_000014.txt <-> doc_000038.txt : 1.0000
api_20260416_020230_731102.txt <-> api_20260416_034719_769078.txt : 1.0000
doc_000044.txt <-> doc_000048.txt : 0.5882
doc_000024.txt <-> doc_000088.txt : 1.0000
doc_000002.txt <-> doc_000051.txt : 0.7143
doc_000025.txt <-> doc_000053.txt : 1.0000
doc_000044.txt <-> doc_000066.txt : 0.5556
doc_000017.txt <-> doc_000049.txt : 0.7000
doc_000001.txt <-> doc_000095.txt : 0.7000
doc_000036.txt <-> doc_000062.txt : 1.0000
doc_000017.txt <-> doc_000067.txt : 0.7000
doc_000058.txt <-> doc_000068.txt : 0.7143
api_20260416_034703_810579.txt <-> doc_000044.txt : 0.5556
doc_000021.txt <-> doc_000046.txt : 1.0000
doc_000006.txt <-> doc_000057.txt : 0.7143
doc_000050.txt <-> doc_000091.txt : 0.5882
doc_000062.txt <-> doc_000065.txt : 1.0000
doc_000039.txt <-> doc_000063.txt : 0.5000
doc_000047.txt <-> doc_000076.txt : 0.5000
doc_000028.txt <-> doc_000072.txt : 1.0000
doc_000047.txt <-> doc_000085.txt : 0.5000
doc_000009.txt <-> doc_000077.txt : 0.7000
doc_000003.txt <-> doc_000006.txt : 1.0000
doc_000032.txt <-> doc_000042.txt : 0.7000
doc_000012.txt <-> doc_000073.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000084.txt : 1.0000
doc_000020.txt <-> doc_000095.txt : 0.7000
doc_000044.txt <-> doc_000052.txt : 1.0000
doc_000073.txt <-> doc_000097.txt : 1.0000
doc_000065.txt <-> doc_000093.txt : 0.7000
doc_000046.txt <-> doc_000089.txt : 1.0000
doc_000017.txt <-> doc_000053.txt : 0.7000
doc_000038.txt <-> doc_000094.txt : 0.5556
doc_000058.txt <-> doc_000081.txt : 0.5000
doc_000016.txt <-> doc_000075.txt : 0.5000
doc_000027.txt <-> doc_000075.txt : 0.5000
doc_000028.txt <-> doc_000049.txt : 1.0000
doc_000035.txt <-> doc_000097.txt : 1.0000
doc_000047.txt <-> doc_000071.txt : 1.0000
api_20260416_034719_769078.txt <-> doc_000031.txt : 0.5556
doc_000028.txt <-> doc_000067.txt : 1.0000
doc_000039.txt <-> doc_000076.txt : 1.0000
doc_000009.txt <-> doc_000072.txt : 0.7000
doc_000039.txt <-> doc_000085.txt : 1.0000
doc_000051.txt <-> doc_000068.txt : 0.7143
doc_000055.txt <-> doc_000066.txt : 1.0000
doc_000013.txt <-> doc_000060.txt : 1.0000
doc_000043.txt <-> doc_000073.txt : 1.0000
doc_000045.txt <-> doc_000092.txt : 0.5882
api_20260416_020230_731102.txt <-> api_20260416_034703_810579.txt : 1.0000
doc_000023.txt <-> doc_000082.txt : 0.7000
doc_000050.txt <-> doc_000054.txt : 0.6842
doc_000004.txt <-> doc_000096.txt : 0.7000
api_20260416_020230_731102.txt <-> doc_000092.txt : 0.5556
doc_000069.txt <-> doc_000076.txt : 0.5294
api_20260416_034703_810579.txt <-> doc_000034.txt : 0.7000
doc_000016.txt <-> doc_000070.txt : 1.0000
doc_000027.txt <-> doc_000070.txt : 1.0000
doc_000069.txt <-> doc_000085.txt : 0.5294
api_20260416_034703_810579.txt <-> doc_000052.txt : 0.5556
doc_000000.txt <-> doc_000071.txt : 0.7000
doc_000010.txt <-> doc_000017.txt : 1.0000
doc_000028.txt <-> doc_000053.txt : 1.0000
doc_000009.txt <-> doc_000049.txt : 0.7000
doc_000068.txt <-> doc_000098.txt : 0.7143
doc_000008.txt <-> doc_000093.txt : 0.5556
api_20260416_033932_359570.txt <-> doc_000056.txt : 0.7000
doc_000047.txt <-> doc_000075.txt : 0.5000
doc_000039.txt <-> doc_000071.txt : 0.5000
doc_000009.txt <-> doc_000067.txt : 0.7000
doc_000003.txt <-> doc_000005.txt : 0.7143
doc_000072.txt <-> doc_000077.txt : 1.0000
doc_000061.txt <-> doc_000086.txt : 1.0000
doc_000001.txt <-> doc_000044.txt : 0.5556
api_20260416_033932_359570.txt <-> doc_000092.txt : 0.5556
doc_000024.txt <-> doc_000046.txt : 0.7143
doc_000017.txt <-> doc_000025.txt : 0.7000
doc_000003.txt <-> doc_000099.txt : 1.0000
doc_000038.txt <-> doc_000066.txt : 0.7000
doc_000054.txt <-> doc_000083.txt : 1.0000
doc_000046.txt <-> doc_000088.txt : 0.7143
doc_000038.txt <-> doc_000084.txt : 0.7000
doc_000023.txt <-> doc_000095.txt : 0.7000
api_20260416_020230_731102.txt <-> doc_000078.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000020.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000038.txt : 0.7000
doc_000020.txt <-> doc_000044.txt : 0.5556
doc_000031.txt <-> doc_000044.txt : 1.0000
doc_000047.txt <-> doc_000070.txt : 1.0000
doc_000009.txt <-> doc_000053.txt : 0.7000
